ID Entrevistado;;Sucessão Rural;;Coleta de água da chuva;;;Qualidade de internet
1;;Sim;;Sim;;;Bom
2;;Sim;;Sim;;;Bom
3;;Sim;;Sim;;;Bom
4;;Sim;;Sim;;;Bom
5;;Sim;;Sim;;;Bom
6;;Sim;;Não;;;Bom
7;;Sim;;Não;;;Bom
8;;Sim;;Não;;;Bom
9;;Sim;;Não;;;Bom
10;;Sim;;Não;;;Bom
11;;Sim;;Não;;;Bom
12;;Sim;;Não;;;Bom
13;;Sim;;Não;;;Regular
14;;Sim;;Não;;;Regular
15;;Sim;;Não;;;Regular
16;;Sim;;Não;;;Regular
17;;Não;;Não;;;Regular
18;;Não;;Não;;;Regular
19;;Não;;Não;;;Regular
20;;Não;;Não;;;Regular
21;;Não;;Não;;;Regular
22;;Não;;Não;;;Ruim
23;;Não;;Não;;;Ruim
24;;Não;;Não;;;Ruim
25;;Não;;Não;;;Ruim
26;;Não;;Não;;;Ótimo
27;;Não;;Não;;;Ótimo
28;;Não;;Não;;;Bom
